Team,Year,Sport,Event,Medal
France,1984,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
France,1964,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
France,1988,Boxing,Boxing Men's Welterweight,Silver
France,2008,Gymnastics,Gymnastics Men's Horse Vault,Silver
France,1996,Judo,Judo Men's Half-Middleweight,Gold
France,1988,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
France,1992,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
France,2004,Cycling,Cycling Men's Team Sprint,Bronze
France,2008,Cycling,Cycling Men's Sprint,Bronze
France,1964,Fencing,"Fencing Men's epee, Team",Bronze
France,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
Germany,1964,Athletics,Athletics Women's Shot Put,Silver
France,1952,Swimming,Swimming Men's 100 metres Backstroke,Silver
Italy,1956,Boxing,Boxing Men's Heavyweight,Bronze
Great Britain,2000,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Great Britain,2008,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
Great Britain,2008,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Italy,2000,Volleyball,Volleyball Men's Volleyball,Bronze
Great Britain,1968,Shooting,Shooting Mixed Trap,Gold
Great Britain,2000,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Great Britain,2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Italy,1968,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
Germany,2000,Football,Football Women's Football,Bronze
Germany,1972,Football,Football Men's Football,Bronze
Germany,1976,Football,Football Men's Football,Gold
Great Britain,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Great Britain,1956,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Germany,1992,Athletics,Athletics Women's Heptathlon,Bronze
Germany,1988,Judo,Judo Men's Half-Middleweight,Bronze
Germany,1960,Fencing,"Fencing Men's Foil, Team",Bronze
Italy,1964,Fencing,"Fencing Men's epee, Team",Silver
Belgium,1992,Rowing,Rowing Women's Single Sculls,Silver
France,1984,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
France,1984,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Germany,1972,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Germany,1976,Athletics,Athletics Women's 400 metres,Silver
Germany,1976,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Germany,1980,Athletics,Athletics Women's 400 metres,Bronze
Germany,1980,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Italy,2004,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Germany,1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Germany,2012,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
Germany,2016,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
Germany,2016,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Germany,1956,Hockey,Hockey Men's Hockey,Bronze
France,2012,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold
Germany,1988,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Germany,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Germany,1956,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
Germany,1972,Athletics,Athletics Men's Shot Put,Bronze
Germany,1972,Rowing,Rowing Men's Coxless Pairs,Gold
Germany,1976,Rowing,Rowing Men's Coxless Fours,Gold
Germany,1980,Rowing,Rowing Men's Coxless Fours,Gold
Great Britain,1964,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Germany,2008,Shooting,Shooting Women's Skeet,Bronze
Great Britain,1976,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Great Britain,1956,Cycling,"Cycling Men's Road Race, Team",Silver
Germany,1964,Rowing,Rowing Men's Coxed Fours,Gold
Great Britain,1996,Tennis,Tennis Men's Doubles,Silver
France,1972,Judo,Judo Men's Open Class,Bronze
Germany,1980,Gymnastics,Gymnastics Men's Team All-Around,Silver
Great Britain,1976,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Great Britain,1988,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Great Britain,1960,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Great Britain,1968,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Germany,2012,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Germany,2016,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,2016,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
France,1984,Fencing,"Fencing Women's Foil, Team",Bronze
Great Britain,1984,Judo,Judo Men's Lightweight,Bronze
Great Britain,2012,Triathlon,Triathlon Men's Olympic Distance,Gold
Great Britain,2016,Triathlon,Triathlon Men's Olympic Distance,Gold
Great Britain,2012,Triathlon,Triathlon Men's Olympic Distance,Bronze
Great Britain,2016,Triathlon,Triathlon Men's Olympic Distance,Silver
Germany,1972,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Germany,1976,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
Germany,1976,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Germany,1980,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Germany,1980,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Germany,1980,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Germany,1988,Rowing,Rowing Men's Coxless Fours,Gold
Germany,1992,Rowing,Rowing Men's Coxed Fours,Silver
Italy,2004,Athletics,Athletics Men's 20 kilometres Walk,Gold
Spain,1996,Tennis,Tennis Men's Singles,Silver
Italy,1996,Athletics,"Athletics Women's 5,000 metres",Bronze
Italy,1952,Cycling,"Cycling Men's Road Race, Team",Silver
Italy,2016,Swimming,Swimming Women's 10 kilometres Open Water,Silver
Germany,1960,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Germany,1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Italy,1984,Boxing,Boxing Men's Welterweight,Bronze
Great Britain,2012,Judo,Judo Women's Heavyweight,Bronze
Great Britain,2016,Boxing,Boxing Men's Light-Heavyweight,Bronze
Germany,1972,Shooting,Shooting Mixed Skeet,Bronze
Great Britain,1984,Rowing,Rowing Men's Coxed Fours,Gold
Germany,1964,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
Italy,1956,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Germany,1980,Volleyball,Volleyball Women's Volleyball,Silver
Germany,1992,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Germany,1996,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Germany,1980,Rowing,Rowing Men's Quadruple Sculls,Gold
Great Britain,1988,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Great Britain,1952,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Great Britain,1956,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Great Britain,2008,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
Great Britain,2012,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Great Britain,2016,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
France,1984,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Germany,1996,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Germany,2000,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Germany,2004,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Germany,2004,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Germany,2004,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Germany,1996,Athletics,Athletics Men's Decathlon,Silver
Germany,1976,Rowing,Rowing Men's Quadruple Sculls,Gold
Germany,1952,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
Germany,1952,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
Germany,2016,Hockey,Hockey Men's Hockey,Bronze
Spain,2008,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Spain,1992,Athletics,"Athletics Men's 1,500 metres",Gold
Spain,1996,Athletics,"Athletics Men's 1,500 metres",Silver
France,2016,Fencing,"Fencing Men's Foil, Team",Silver
Italy,1972,Diving,Diving Men's Springboard,Silver
Italy,1972,Diving,Diving Men's Platform,Bronze
Italy,1976,Diving,Diving Men's Springboard,Silver
Italy,1980,Diving,Diving Men's Springboard,Bronze
Italy,2016,Diving,Diving Women's Springboard,Bronze
Italy,2016,Diving,Diving Women's Synchronized Springboard,Silver
France,1980,Cycling,Cycling Men's Sprint,Silver
Italy,2008,Shooting,Shooting Women's Skeet,Gold
Italy,2016,Shooting,Shooting Women's Skeet,Silver
Spain,2004,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
Spain,2004,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
Spain,2008,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
Spain,2008,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Spain,2012,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Italy,2000,Rowing,Rowing Men's Double Sculls,Bronze
Spain,1992,Sailing,Sailing Men's Two Person Dinghy,Gold
Italy,1960,Fencing,"Fencing Men's Sabre, Team",Bronze
Italy,1964,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,1960,Fencing,"Fencing Men's Sabre, Individual",Bronze
Italy,1968,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,1976,Fencing,"Fencing Men's Foil, Team",Silver
Spain,2008,Basketball,Basketball Men's Basketball,Silver
Spain,2012,Basketball,Basketball Men's Basketball,Silver
Belgium,2000,Tennis,Tennis Women's Doubles,Bronze
Italy,1972,Swimming,Swimming Women's 400 metres Freestyle,Silver
Italy,1972,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Italy,1972,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Spain,2016,Taekwondo,Taekwondo Women's Featherweight,Silver
Italy,1952,Fencing,"Fencing Women's Foil, Individual",Gold
Italy,1960,Fencing,"Fencing Women's Foil, Team",Bronze
Italy,2004,Boxing,Boxing Men's Super-Heavyweight,Bronze
Italy,2008,Boxing,Boxing Men's Super-Heavyweight,Gold
Italy,2012,Boxing,Boxing Men's Super-Heavyweight,Silver
Italy,1952,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Great Britain,2012,Rowing,Rowing Men's Single Sculls,Bronze
Great Britain,2000,Athletics,Athletics Men's 200 metres,Silver
Great Britain,2004,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Great Britain,2012,Boxing,Boxing Men's Bantamweight,Gold
Italy,2012,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Italy,2012,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Italy,2016,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Italy,2016,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
France,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Germany,2000,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Italy,1952,Boxing,Boxing Men's Featherweight,Silver
France,1988,Judo,Judo Men's Half-Lightweight,Bronze
France,2008,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Italy,2000,Rowing,Rowing Men's Coxless Fours,Silver
Spain,2012,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
Great Britain,2016,Swimming,Swimming Women's 400 metres Freestyle,Silver
Great Britain,2016,Swimming,Swimming Women's 800 metres Freestyle,Silver
Great Britain,1980,Rowing,Rowing Men's Coxless Pairs,Bronze
Italy,1960,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Italy,1960,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Great Britain,1952,Hockey,Hockey Men's Hockey,Bronze
France,1964,Swimming,Swimming Women's 100 metres Backstroke,Silver
France,1988,Swimming,Swimming Men's 100 metres Freestyle,Bronze
France,1992,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Italy,2008,Fencing,"Fencing Men's epee, Team",Bronze
France,1972,Shooting,Shooting Mixed Trap,Silver
Germany,1996,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Italy,1980,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Spain,1988,Tennis,Tennis Men's Doubles,Silver
Italy,1992,Cycling,"Cycling Men's Road Race, Individual",Gold
Italy,1996,Fencing,"Fencing Men's Sabre, Team",Bronze
Italy,2004,Fencing,"Fencing Men's Foil, Individual",Bronze
Italy,2004,Fencing,"Fencing Men's Foil, Team",Gold
Italy,2004,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Italy,2016,Rowing,Rowing Men's Coxless Fours,Bronze
Spain,2004,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Italy,1988,Fencing,"Fencing Men's Sabre, Team",Bronze
Italy,1968,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Great Britain,2016,Cycling,Cycling Men's Omnium,Silver
Great Britain,1952,Athletics,Athletics Women's Long Jump,Bronze
France,1984,Fencing,"Fencing Men's Foil, Team",Bronze
Italy,1984,Fencing,"Fencing Men's Foil, Individual",Bronze
Italy,1988,Fencing,"Fencing Men's Foil, Individual",Gold
Italy,2004,Volleyball,Volleyball Men's Volleyball,Silver
Italy,2016,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
France,2000,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
France,1956,Boxing,Boxing Men's Middleweight,Bronze
France,2008,Rowing,Rowing Men's Coxless Fours,Bronze
France,2012,Rowing,Rowing Men's Coxless Pairs,Silver
France,1984,Athletics,Athletics Women's 100 metres Hurdles,Bronze
France,2008,Cycling,Cycling Women's BMX,Gold
Italy,1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Italy,1996,Gymnastics,Gymnastics Men's Rings,Gold
Italy,2004,Gymnastics,Gymnastics Men's Rings,Bronze
Italy,1996,Cycling,"Cycling Women's Road Race, Individual",Silver
Italy,1996,Fencing,"Fencing Women's epee, Team",Silver
Great Britain,2016,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Spain,2012,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
Spain,2016,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
Great Britain,1988,Athletics,Athletics Men's 100 metres,Silver
Great Britain,1992,Athletics,Athletics Men's 100 metres,Gold
Germany,2008,Gymnastics,Gymnastics Women's Horse Vault,Silver
Italy,1956,Shooting,Shooting Men's Trap,Bronze
France,1996,Judo,Judo Women's Heavyweight,Bronze
Germany,1976,Athletics,Athletics Men's Marathon,Gold
Germany,1980,Athletics,Athletics Men's Marathon,Gold
Germany,1960,Rowing,Rowing Men's Coxed Fours,Gold
France,2016,Boxing,Boxing Men's Welterweight,Bronze
Germany,1964,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Great Britain,2008,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Great Britain,2012,Cycling,Cycling Men's Omnium,Bronze
Great Britain,1984,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Great Britain,1976,Rowing,Rowing Men's Coxed Eights,Silver
Great Britain,2012,Sailing,Sailing Women's Two Person Dinghy,Silver
Great Britain,2016,Sailing,Sailing Women's Two Person Dinghy,Gold
Great Britain,2016,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Great Britain,1980,Rowing,Rowing Men's Coxed Eights,Silver
Great Britain,2000,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
France,1996,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
France,2000,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
Spain,1984,Rowing,Rowing Men's Coxless Pairs,Silver
France,2016,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
Great Britain,1968,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
France,1972,Judo,Judo Men's Middleweight,Bronze
Great Britain,1984,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
Great Britain,1980,Athletics,Athletics Men's 800 metres,Silver
Great Britain,1980,Athletics,"Athletics Men's 1,500 metres",Gold
Great Britain,1984,Athletics,Athletics Men's 800 metres,Silver
Great Britain,1984,Athletics,"Athletics Men's 1,500 metres",Gold
France,1984,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
Italy,1996,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Italy,1976,Fencing,"Fencing Women's Foil, Individual",Silver
Spain,2016,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
Great Britain,1984,Athletics,Athletics Men's Triple Jump,Bronze
Germany,2004,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Italy,1952,Athletics,Athletics Men's Discus Throw,Silver
Great Britain,2016,Judo,Judo Women's Middleweight,Bronze
Great Britain,2004,Rowing,Rowing Men's Coxless Fours,Gold
Great Britain,2000,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
Great Britain,2008,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Great Britain,2008,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Great Britain,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Great Britain,2008,Cycling,"Cycling Women's Road Race, Individual",Gold
Great Britain,1964,Athletics,Athletics Men's 400 metres Hurdles,Silver
Great Britain,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Great Britain,1988,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Great Britain,2012,Rowing,Rowing Women's Lightweight Double Sculls,Gold
France,2012,Cycling,Cycling Men's Omnium,Silver
Italy,1992,Rowing,Rowing Men's Quadruple Sculls,Bronze
Spain,2000,Tennis,Tennis Men's Doubles,Bronze
France,1996,Rowing,Rowing Women's Coxless Pairs,Bronze
France,1964,Fencing,"Fencing Men's Foil, Team",Bronze
Italy,1984,Athletics,"Athletics Men's 10,000 metres",Gold
Great Britain,2000,Sailing,Sailing Mixed Two Person Keelboat,Silver
Great Britain,1976,Boxing,Boxing Men's Bantamweight,Bronze
Belgium,2012,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Great Britain,2000,Rowing,Rowing Men's Coxless Fours,Gold
Great Britain,1984,Athletics,"Athletics Men's 1,500 metres",Silver
Spain,2008,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Spain,2012,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver
Spain,2016,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze
Spain,2016,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
Italy,1984,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Great Britain,1980,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Great Britain,1984,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Belgium,1984,Rowing,Rowing Men's Double Sculls,Silver
Italy,2000,Fencing,"Fencing Men's Foil, Team",Bronze
Great Britain,1992,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Spain,2016,Basketball,Basketball Women's Basketball,Silver
Belgium,1976,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Germany,1960,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Great Britain,2004,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Italy,1996,Fencing,"Fencing Men's epee, Team",Gold
France,1992,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
Great Britain,1952,Sailing,Sailing Mixed One Person Dinghy,Silver
Germany,1968,Shooting,Shooting Mixed Trap,Bronze
Italy,2008,Shooting,Shooting Men's Double Trap,Silver
France,2008,Weightlifting,Weightlifting Men's Lightweight,Silver
France,1956,Fencing,"Fencing Men's epee, Team",Bronze
Great Britain,1984,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
Germany,1980,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Germany,1976,Rowing,Rowing Women's Coxless Pairs,Silver
Italy,1976,Fencing,"Fencing Men's Foil, Individual",Gold
Great Britain,2012,Diving,Diving Men's Platform,Bronze
Great Britain,2016,Diving,Diving Men's Synchronized Platform,Bronze
France,1992,Judo,Judo Men's Half-Middleweight,Bronze
Italy,1984,Boxing,Boxing Men's Super-Heavyweight,Silver
Italy,1980,Athletics,Athletics Men's 20 kilometres Walk,Gold
Italy,1984,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Italy,1988,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Germany,1980,Shooting,Shooting Mixed Trap,Bronze
France,2004,Fencing,"Fencing Women's epee, Team",Bronze
Great Britain,2008,Athletics,Athletics Women's 400 metres Hurdles,Bronze
France,2008,Judo,Judo Men's Half-Lightweight,Silver
Italy,1952,Fencing,"Fencing Men's Sabre, Team",Silver
France,1964,Rowing,Rowing Men's Coxed Pairs,Silver
Germany,1988,Swimming,Swimming Men's 400 metres Freestyle,Gold
Germany,1988,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Germany,1988,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
France,1992,Fencing,"Fencing Men's Sabre, Team",Bronze
France,1992,Sailing,Sailing Men's Windsurfer,Gold
Great Britain,1972,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Great Britain,2004,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Great Britain,2008,Swimming,Swimming Men's 10 kilometres Open Water,Silver
Great Britain,1964,Athletics,Athletics Men's Long Jump,Gold
Great Britain,1980,Swimming,Swimming Women's 400 metres Individual Medley,Silver
Italy,1992,Athletics,Athletics Men's 20 kilometres Walk,Bronze
France,1952,Fencing,"Fencing Men's Foil, Team",Gold
Italy,1960,Boxing,Boxing Men's Heavyweight,Gold
Belgium,2000,Cycling,Cycling Men's Madison,Silver
France,1956,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
France,1992,Handball,Handball Men's Handball,Bronze
Belgium,1996,Swimming,Swimming Men's 100 metres Breaststroke,Gold
France,2008,Judo,Judo Women's Half-Middleweight,Silver
France,2012,Judo,Judo Women's Middleweight,Gold
France,2000,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
Germany,2012,Hockey,Hockey Men's Hockey,Gold
Spain,2000,Gymnastics,Gymnastics Men's Horse Vault,Gold
Spain,2004,Gymnastics,Gymnastics Men's Horse Vault,Gold
Spain,2008,Gymnastics,Gymnastics Men's Floor Exercise,Silver
France,2016,Sailing,Sailing Women's Two Person Dinghy,Bronze
Great Britain,2008,Boxing,Boxing Men's Middleweight,Gold
Spain,1980,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
France,1956,Rowing,Rowing Men's Coxless Fours,Bronze
France,2008,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
France,1984,Swimming,Swimming Men's 200 metres Backstroke,Silver
France,1964,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Italy,1956,Fencing,"Fencing Men's epee, Individual",Silver
Italy,1960,Fencing,"Fencing Men's epee, Individual",Gold
Italy,1960,Fencing,"Fencing Men's epee, Team",Gold
France,1988,Fencing,"Fencing Men's epee, Team",Gold
France,1984,Fencing,"Fencing Men's Sabre, Team",Silver
France,2000,Judo,Judo Men's Middleweight,Bronze
Great Britain,2004,Sailing,Sailing Men's Windsurfer,Bronze
Great Britain,2012,Sailing,Sailing Men's Windsurfer,Silver
Great Britain,2016,Sailing,Sailing Men's Windsurfer,Silver
Italy,2016,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Italy,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Italy,2000,Sailing,Sailing Men's One Person Dinghy,Silver
Italy,1960,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Belgium,2016,Cycling,Cycling Women's Omnium,Bronze
Italy,1956,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Italy,1956,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Italy,1960,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Italy,1960,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Italy,1964,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Italy,1972,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Italy,1956,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Italy,1960,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Italy,2008,Archery,Archery Men's Team,Silver
Italy,1996,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
Italy,1996,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
Italy,2012,Fencing,"Fencing Women's Foil, Individual",Gold
Italy,2012,Fencing,"Fencing Women's Foil, Team",Gold
Italy,2016,Fencing,"Fencing Women's Foil, Individual",Silver
France,2000,Fencing,"Fencing Men's epee, Team",Silver
France,2000,Tennis,Tennis Men's Singles,Bronze
Italy,1952,Fencing,"Fencing Men's Foil, Individual",Bronze
Italy,1964,Diving,Diving Men's Platform,Silver
Italy,1968,Diving,Diving Men's Springboard,Silver
Italy,1968,Diving,Diving Men's Platform,Gold
Italy,1972,Diving,Diving Men's Platform,Gold
Italy,1976,Diving,Diving Men's Platform,Gold
Germany,2008,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Germany,1980,Swimming,Swimming Women's 100 metres Freestyle,Bronze
Germany,1980,Swimming,Swimming Women's 200 metres Freestyle,Silver
Germany,1980,Swimming,Swimming Women's 400 metres Freestyle,Gold
Germany,1980,Swimming,Swimming Women's 800 metres Freestyle,Silver
Germany,1980,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Germany,1976,Rowing,Rowing Men's Coxed Fours,Silver
Germany,1980,Rowing,Rowing Men's Coxed Fours,Gold
Germany,1956,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Germany,1960,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Germany,1960,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
Germany,1964,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Germany,2012,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Germany,2012,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Germany,2016,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,2016,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Great Britain,1952,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Germany,2016,Handball,Handball Men's Handball,Bronze
Germany,1988,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
Germany,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Germany,1996,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Germany,2000,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Germany,2000,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
Germany,2004,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
Germany,2004,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
France,2008,Boxing,Boxing Men's Featherweight,Silver
